x,y,train_env,algorithm,model_hparams,dataset,test_env
0.5325145116513839,0.5936962750716333,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9120888365441239,0.8995702005730659,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.940439135189703,0.904297994269341,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9749305964499032,0.9426934097421203,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9759401026331286,0.8845272206303725,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9816606376714058,0.901432664756447,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9763607302094726,0.9054441260744985,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9735845882056028,0.8641833810888252,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.977706738453773,0.8926934097421203,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9766131067552789,0.8638968481375359,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9659291663161437,0.8555873925501433,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.982333641793556,0.92378223495702,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9819130142172121,0.9091690544412607,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9378312442163709,0.8259312320916905,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9740052157819467,0.874785100286533,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.983847901068394,0.9134670487106017,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.981576512156137,0.8765042979942693,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9809035080339867,0.920487106017192,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9807352570034491,0.9100286532951289,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9826701438546311,0.92378223495702,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9811558845797931,0.9318051575931232,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
0.9740052157819467,0.8979942693409743,0,ERM,"{'model_arch': 'resnet50', 'transfer': False}",WILDSCamelyon,1
